# Spin-echo spectrometer data file
# Start Time 6:31:3 8/8/2024

# System Status at:  6:31:3 8/8/2024
sample description: Ni(111)
comment:  
nozzle pressure: unused
nozzle temperature: +00.000
source backing pressure: Can't open [ /home/sudy/status/edwardsagc1.status ] at /home/sudy/bin/get_value line 16.
scattering chamber pressure by tpg:  2.7400E-09
crystal temperature: 5.30
manipulator desired alpha: 75.000000
manipulator desired beta: 2.332700
manipulator desired gamma: 25.285000
specular ga: 25.284984
detector pressure: Can't open [ /home/sudy/status/ionivac2.status ] at /home/sudy/bin/get_value line 16.
attenuation staus: /bin/bash: read_attenuation.sh: command not found

beam_prperties:
G5 0.60651
Psourse 7.93378e-05
p303 0.109707
p3053 0.005069
wika1 0.020707
wika2 0.173412
wika3 -0.255327
comp 0.042801

Gas:He3

channeltron voltage: 

# scan_1d(1.000000,-0.050000,0.050000,151,50,1,1)
# Calibrated current I1
# solenoid:1.000000
# min_value:-0.050000
# max_value:0.050000
I1-I2-A:1.020597
I1-I2-B:-0.000640
# other_solenoid_current:0
# numsteps:151
# numloops:50
# count_time:1
# savemode:1
# angular data
# loop number 1
1.653808e-09 -5.000000e-02 -5.000000e-02 -8.533731e-04
1.651876e-09 -4.933333e-02 -4.933333e-02 -8.533731e-04
1.649378e-09 -4.866667e-02 -4.866667e-02 -8.533731e-04
1.656195e-09 -4.800000e-02 -4.800000e-02 -8.533731e-04
1.655269e-09 -4.733333e-02 -4.733333e-02 -8.533731e-04
1.646047e-09 -4.666667e-02 -4.666667e-02 -8.533731e-04
1.648109e-09 -4.600000e-02 -4.600000e-02 -8.533731e-04
1.647459e-09 -4.533333e-02 -4.533333e-02 -8.533731e-04
1.654169e-09 -4.466667e-02 -4.466667e-02 -8.533731e-04
1.653082e-09 -4.400000e-02 -4.400000e-02 -8.533731e-04
1.641676e-09 -4.333333e-02 -4.333333e-02 -8.533731e-04
1.660726e-09 -4.266667e-02 -4.266667e-02 -8.533731e-04
1.647240e-09 -4.200000e-02 -4.200000e-02 -8.533731e-04
1.650750e-09 -4.133333e-02 -4.133333e-02 -8.533731e-04
1.644029e-09 -4.066667e-02 -4.066667e-02 -8.533731e-04
1.667205e-09 -4.000000e-02 -4.000000e-02 -8.533731e-04
1.663393e-09 -3.933333e-02 -3.933333e-02 -8.533731e-04
1.648312e-09 -3.866667e-02 -3.866667e-02 -8.533731e-04
1.656482e-09 -3.800000e-02 -3.800000e-02 -8.533731e-04
1.664862e-09 -3.733333e-02 -3.733333e-02 -8.533731e-04
1.642562e-09 -3.666667e-02 -3.666667e-02 -8.533731e-04
1.647660e-09 -3.600000e-02 -3.600000e-02 -8.533731e-04
1.657611e-09 -3.533333e-02 -3.533333e-02 -8.533731e-04
1.661394e-09 -3.466667e-02 -3.466667e-02 -8.533731e-04
1.652406e-09 -3.400000e-02 -3.400000e-02 -8.533731e-04
1.668092e-09 -3.333333e-02 -3.333333e-02 -8.533731e-04
1.653987e-09 -3.266667e-02 -3.266667e-02 -8.533731e-04
1.658435e-09 -3.200000e-02 -3.200000e-02 -8.533731e-04
1.646582e-09 -3.133333e-02 -3.133333e-02 -8.533731e-04
1.661526e-09 -3.066667e-02 -3.066667e-02 -8.533731e-04
1.657426e-09 -3.000000e-02 -3.000000e-02 -8.533731e-04
1.657530e-09 -2.933333e-02 -2.933333e-02 -8.533731e-04
1.654285e-09 -2.866667e-02 -2.866667e-02 -8.533731e-04
1.683042e-09 -2.800000e-02 -2.800000e-02 -8.533731e-04
1.663420e-09 -2.733333e-02 -2.733333e-02 -8.533731e-04
1.659372e-09 -2.666667e-02 -2.666667e-02 -8.533731e-04
1.669415e-09 -2.600000e-02 -2.600000e-02 -8.533731e-04
1.661234e-09 -2.533333e-02 -2.533333e-02 -8.533731e-04
1.659800e-09 -2.466667e-02 -2.466667e-02 -8.533731e-04
1.650925e-09 -2.400000e-02 -2.400000e-02 -8.533731e-04
1.659527e-09 -2.333333e-02 -2.333333e-02 -8.533731e-04
1.653483e-09 -2.266667e-02 -2.266667e-02 -8.533731e-04
1.665808e-09 -2.200000e-02 -2.200000e-02 -8.533731e-04
1.664245e-09 -2.133333e-02 -2.133333e-02 -8.533731e-04
1.664314e-09 -2.066667e-02 -2.066667e-02 -8.533731e-04
1.658130e-09 -2.000000e-02 -2.000000e-02 -8.533731e-04
1.655986e-09 -1.933333e-02 -1.933333e-02 -8.533731e-04
1.657913e-09 -1.866667e-02 -1.866667e-02 -8.533731e-04
1.658392e-09 -1.800000e-02 -1.800000e-02 -8.533731e-04
1.651655e-09 -1.733333e-02 -1.733333e-02 -8.533731e-04
1.658769e-09 -1.666667e-02 -1.666667e-02 -8.533731e-04
1.667775e-09 -1.600000e-02 -1.600000e-02 -8.533731e-04
1.665389e-09 -1.533333e-02 -1.533333e-02 -8.533731e-04
1.661893e-09 -1.466667e-02 -1.466667e-02 -8.533731e-04
1.664801e-09 -1.400000e-02 -1.400000e-02 -8.533731e-04
1.643504e-09 -1.333333e-02 -1.333333e-02 -8.533731e-04
1.663015e-09 -1.266667e-02 -1.266667e-02 -8.533731e-04
1.658678e-09 -1.200000e-02 -1.200000e-02 -8.533731e-04
1.660922e-09 -1.133333e-02 -1.133333e-02 -8.533731e-04
1.662075e-09 -1.066667e-02 -1.066667e-02 -8.533731e-04
1.659976e-09 -1.000000e-02 -1.000000e-02 -8.533731e-04
1.650936e-09 -9.333333e-03 -9.333333e-03 -8.533731e-04
1.660980e-09 -8.666667e-03 -8.666667e-03 -8.533731e-04
1.660694e-09 -8.000000e-03 -8.000000e-03 -8.533731e-04
1.666641e-09 -7.333333e-03 -7.333333e-03 -8.533731e-04
1.653518e-09 -6.666667e-03 -6.666667e-03 -8.533731e-04
1.668626e-09 -6.000000e-03 -6.000000e-03 -8.533731e-04
1.647734e-09 -5.333333e-03 -5.333333e-03 -8.533731e-04
1.659659e-09 -4.666667e-03 -4.666667e-03 -8.533731e-04
1.658524e-09 -4.000000e-03 -4.000000e-03 -8.533731e-04
1.653402e-09 -3.333333e-03 -3.333333e-03 -8.533731e-04
1.670016e-09 -2.666667e-03 -2.666667e-03 -8.533731e-04
1.676899e-09 -2.000000e-03 -2.000000e-03 -8.533731e-04
1.672276e-09 -1.333333e-03 -1.333333e-03 -8.533731e-04
1.680525e-09 -6.666667e-04 -6.666667e-04 -8.533731e-04
1.674210e-09 0 0 -8.533731e-04
1.664006e-09 6.666667e-04 6.666667e-04 -8.533731e-04
1.666184e-09 1.333333e-03 1.333333e-03 -8.533731e-04
1.665630e-09 2.000000e-03 2.000000e-03 -8.533731e-04
1.660591e-09 2.666667e-03 2.666667e-03 -8.533731e-04
1.654826e-09 3.333333e-03 3.333333e-03 -8.533731e-04
1.657160e-09 4.000000e-03 4.000000e-03 -8.533731e-04
1.661937e-09 4.666667e-03 4.666667e-03 -8.533731e-04
1.664229e-09 5.333333e-03 5.333333e-03 -8.533731e-04
1.668360e-09 6.000000e-03 6.000000e-03 -8.533731e-04
1.660657e-09 6.666667e-03 6.666667e-03 -8.533731e-04
1.646696e-09 7.333333e-03 7.333333e-03 -8.533731e-04
1.663235e-09 8.000000e-03 8.000000e-03 -8.533731e-04
1.666814e-09 8.666667e-03 8.666667e-03 -8.533731e-04
1.658812e-09 9.333333e-03 9.333333e-03 -8.533731e-04
1.655513e-09 1.000000e-02 1.000000e-02 -8.533731e-04
1.666802e-09 1.066667e-02 1.066667e-02 -8.533731e-04
1.673113e-09 1.133333e-02 1.133333e-02 -8.533731e-04
1.670586e-09 1.200000e-02 1.200000e-02 -8.533731e-04
1.668414e-09 1.266667e-02 1.266667e-02 -8.533731e-04
1.658884e-09 1.333333e-02 1.333333e-02 -8.533731e-04
1.661508e-09 1.400000e-02 1.400000e-02 -8.533731e-04
1.660881e-09 1.466667e-02 1.466667e-02 -8.533731e-04
1.652691e-09 1.533333e-02 1.533333e-02 -8.533731e-04
1.661816e-09 1.600000e-02 1.600000e-02 -8.533731e-04
1.672311e-09 1.666667e-02 1.666667e-02 -8.533731e-04
1.661791e-09 1.733333e-02 1.733333e-02 -8.533731e-04
1.671464e-09 1.800000e-02 1.800000e-02 -8.533731e-04
1.652266e-09 1.866667e-02 1.866667e-02 -8.533731e-04
1.651845e-09 1.933333e-02 1.933333e-02 -8.533731e-04
1.642483e-09 2.000000e-02 2.000000e-02 -8.533731e-04
1.668326e-09 2.066667e-02 2.066667e-02 -8.533731e-04
1.658826e-09 2.133333e-02 2.133333e-02 -8.533731e-04
1.667462e-09 2.200000e-02 2.200000e-02 -8.533731e-04
1.659817e-09 2.266667e-02 2.266667e-02 -8.533731e-04
1.660883e-09 2.333333e-02 2.333333e-02 -8.533731e-04
1.669226e-09 2.400000e-02 2.400000e-02 -8.533731e-04
1.673055e-09 2.466667e-02 2.466667e-02 -8.533731e-04
1.665354e-09 2.533333e-02 2.533333e-02 -8.533731e-04
1.659175e-09 2.600000e-02 2.600000e-02 -8.533731e-04
1.667047e-09 2.666667e-02 2.666667e-02 -8.533731e-04
1.664263e-09 2.733333e-02 2.733333e-02 -8.533731e-04
1.670446e-09 2.800000e-02 2.800000e-02 -8.533731e-04
1.657088e-09 2.866667e-02 2.866667e-02 -8.533731e-04
1.673158e-09 2.933333e-02 2.933333e-02 -8.533731e-04
1.659198e-09 3.000000e-02 3.000000e-02 -8.533731e-04
1.676928e-09 3.066667e-02 3.066667e-02 -8.533731e-04
1.658614e-09 3.133333e-02 3.133333e-02 -8.533731e-04
1.661148e-09 3.200000e-02 3.200000e-02 -8.533731e-04
1.661738e-09 3.266667e-02 3.266667e-02 -8.533731e-04
1.666335e-09 3.333333e-02 3.333333e-02 -8.533731e-04
1.661361e-09 3.400000e-02 3.400000e-02 -8.533731e-04
1.654338e-09 3.466667e-02 3.466667e-02 -8.533731e-04
1.664210e-09 3.533333e-02 3.533333e-02 -8.533731e-04
1.666213e-09 3.600000e-02 3.600000e-02 -8.533731e-04
1.667352e-09 3.666667e-02 3.666667e-02 -8.533731e-04
1.673680e-09 3.733333e-02 3.733333e-02 -8.533731e-04
1.676160e-09 3.800000e-02 3.800000e-02 -8.533731e-04
1.654261e-09 3.866667e-02 3.866667e-02 -8.533731e-04
1.661274e-09 3.933333e-02 3.933333e-02 -8.533731e-04
1.671979e-09 4.000000e-02 4.000000e-02 -8.533731e-04
1.670423e-09 4.066667e-02 4.066667e-02 -8.533731e-04
